photon_energy_keV,raw_photons_per_tonne_year_keV_R100nm,raw_photons_per_tonne_year_keV_R049nm,raw_photons_per_tonne_year_keV_colored_Ec10keV,atomic_shape_over_high_energy_R100nm
68.5,2.094952325539647e-07,1.7805008021841868,4.371542230767691e-09,0.9757425071247656
68.75,2.0866192267375343e-07,1.7734203522736676,4.323199433836265e-09,0.9754082319485611
69.0,2.0780318083839834e-07,1.7661274960344642,4.274906003669992e-09,0.9749263105594306
69.25,2.069205417558296e-07,1.7586349630546452,4.226695946703359e-09,0.9743026723429629
69.5,2.060161395643971e-07,1.7509605094608582,4.178614463047454e-09,0.973546183693325
69.75,2.050926299718267e-07,1.7431262672513512,4.130715977328114e-09,0.9726683296980683
70.0,2.0415310321583307e-07,1.7351580165870069,4.083062064316662e-09,0.9716828441967561
70.25,2.0320099015121043e-07,1.7270844003115255,4.035719321283707e-09,0.9706052981304485
70.5,2.0223996385176012e-07,1.7189361006781152,3.988757237843501e-09,0.9694526568129456
70.75,2.012738391399929e-07,1.7107449984731793,3.942246111765215e-09,0.9682428171977209
71.0,2.003064724247666e-07,1.7025433344607699,3.896255055918433e-09,0.9669941363843703
71.25,1.9934166413982633e-07,1.694362892349271,3.8508501373223316e-09,0.9657249625096644
71.5,1.9838306593874942e-07,1.6862342213383728,3.806092684325376e-09,0.9644531788118041
71.75,1.9743409461923542e-07,1.6781859147829832,3.762037792408825e-09,0.9631957710589704
72.0,1.964978545280861e-07,1.6702439596617933,3.718733053143189e-09,0.9619684277167136
72.25,1.955770699443075e-07,1.6624311694178289,3.676217524593132e-09,0.9607851812195318
72.5,1.9467402865875225e-07,1.6547667104067163,3.634520955122562e-09,0.9596580975401955
72.75,1.9379053767208439e-07,1.6472657297080555,3.593663266250218e-09,0.9585970199487465
73.0,1.9292789162615904e-07,1.6399390894895345,3.553654294090238e-09,0.9576093714561711
73.25,1.9208685427463153e-07,1.6327932105246459,3.514493783112562e-09,0.9567000189810165
73.5,1.9126765299391992e-07,1.6258300249132112,3.4761716205901208e-09,0.9558712007961014
73.75,1.904699860422888e-07,1.6190470355959357,3.4386682952627593e-09,0.955122517341568
74.0,1.8969304199896948e-07,1.6124374779415342,3.401955559522408e-09,0.954450984062819
74.25,1.889355305623511e-07,1.6059905765636882,3.365997270872204e-09,0.9538511435779482
74.5,1.8819572366107827e-07,1.599691888634634,3.330750385577245e-09,0.9533152332268722
74.75,1.8747150563820264e-07,1.593523723334893,3.2961660753302074e-09,0.9528334029276806
75.0,1.8676043110933386e-07,1.587465625739617,3.262190936407578e-09,0.95239397728525
75.25,1.8605978897305264e-07,1.5814949124085078,3.228768260180304e-09,0.9519837550792125
75.5,1.8536667096684913e-07,1.575587245228189,3.1958393339399015e-09,0.9515883386150705
75.75,1.846780431147928e-07,1.5697172296557025,3.163344741766516e-09,0.9511924849613909
76.0,1.839908184034753e-07,1.5638590234250653,3.1312256365465505e-09,0.9507804708211712
76.25,1.8330192904916168e-07,1.5579869419945176,3.0994249561813333e-09,0.9503364626960996
76.5,1.8260839677951433e-07,1.5520760475135167,3.0678885594441483e-09,0.949844884094131
76.75,1.8190739964507372e-07,1.5461027088536101,3.0365662597639825e-09,0.9492907717955704
77.0,1.8119633399573635e-07,1.540045121249765,3.005412738360198e-09,0.9486601136194853
77.25,1.8047287040216577e-07,1.5338837753084966,2.974388321540417e-09,0.9479401607067094
77.5,1.797350024674987e-07,1.5276018665234576,2.943459610521985e-09,0.9471197080414904
77.75,1.7898108765670306e-07,1.521185637963274,2.9125999557645357e-09,0.9461893377525517
78.0,1.7820987946523098e-07,1.5146246504243155,2.8817897714299966e-09,0.9451416206460619
78.25,1.7742055045083222e-07,1.5079119760363975,2.8510166891435243e-09,0.9439712724066911
78.5,1.766127058582573e-07,1.5010443130359017,2.8202755536469685e-09,0.9426752619369924
78.75,1.7578638777187964e-07,1.494022021143223,2.7895682661543015e-09,0.9412528703678685
79.0,1.7494206993198224e-07,1.486849078665962,2.7589034841820257e-09,0.9397057003422126
79.25,1.7408064354281094e-07,1.4795329640640758,2.728296189290692e-09,0.9380376362287759
79.5,1.732033945809956e-07,1.4720844662288717,2.6977671364977313e-09,0.9362547569436408
79.75,1.7231197327843484e-07,1.4645174291177179,2.6673422010767674e-09,0.9343652040232225
80.0,1.7140835660144018e-07,1.456848437627145,2.637051640022157e-09,0.9323790084878224
80.25,1.7049480467546676e-07,1.449096452658624,2.6069292866156366e-09,0.9303078808423785
80.5,1.6957381221015654e-07,1.4412824042170942,2.5770116972783182e-09,0.9281649692670629
80.75,1.6864805606117363e-07,1.4334287520696147,2.547337270227018e-09,0.9259645916426739
81.0,1.677203401223507e-07,1.4255590239711717,2.51794535538734e-09,0.9237219475244584
81.25,1.6679353877337795e-07,1.4176973417316439,2.4888753745619466e-09,0.9214528165155136
81.5,1.6587054011449796e-07,1.4098679454507805,2.460165970032229e-09,0.9191732496920497
81.75,1.6495419020071196e-07,1.4020947260893597,2.4318541986117917e-09,0.9168992607948986
82.0,1.6404723944458952e-07,1.3944007761805135,2.40397478670266e-09,0.9146465238244766
82.25,1.6315229229006903e-07,1.3868079679254837,2.3765594601661533e-09,0.9124300834623525
82.5,1.6227176117120152e-07,1.3793365671758597,2.349636360849977e-09,0.9102640843964018
82.75,1.6140782566157925e-07,1.3720048908961904,2.323229559454546e-09,0.908161525155571
83.0,1.6056239759451055e-07,1.3648290146461177,2.297358672120626e-09,0.9061340414741611
83.25,1.597370927934642e-07,1.3578225354419435,2.272038585724317e-09,0.9041917235161133
83.5,1.589332098998302e-07,1.3509963940782592,2.2472792944229944e-09,0.9023429705110536
